"","Nível Territorial (Código)","Nível Territorial","Município (Código)","Município","Trimestre (Código)","Trimestre","Variável (Código)","Variável","Cor ou raça (Código)","Cor ou raça","Unidade de Medida (Código)","Unidade de Medida","Valor"
"45","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8188","Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade","2779","Parda","1574","Horas",35.3
"46","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8189","Coeficiente de variação - Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade","95251","Total","2","%",1.2
"47","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8189","Coeficiente de variação - Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade","2776","Branca","2","%",2.5
"48","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8189","Coeficiente de variação - Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade","2777","Preta","2","%",2.4
"49","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8189","Coeficiente de variação - Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade","2779","Parda","2","%",1.7
"50","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8190","Média de horas habitualmente trabalhadas por semana em todos trabalhos das pessoas de 14 anos ou mais de idade","95251","Total","1574","Horas",39.5
"51","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8190","Média de horas habitualmente trabalhadas por semana em todos trabalhos das pessoas de 14 anos ou mais de idade","2776","Branca","1574","Horas",38.7
"52","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8190","Média de horas habitualmente trabalhadas por semana em todos trabalhos das pessoas de 14 anos ou mais de idade","2777","Preta","1574","Horas",40
"53","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8190","Média de horas habitualmente trabalhadas por semana em todos trabalhos das pessoas de 14 anos ou mais de idade","2779","Parda","1574","Horas",39.5
"54","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8191","Coeficiente de variação - Média de horas habitualmente trabalhadas por semana em todos trabalhos das pessoas de 14 anos ou mais de idade","95251","Total","2","%",0.8
"55","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8191","Coeficiente de variação - Média de horas habitualmente trabalhadas por semana em todos trabalhos das pessoas de 14 anos ou mais de idade","2776","Branca","2","%",1.9
"56","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8191","Coeficiente de variação - Média de horas habitualmente trabalhadas por semana em todos trabalhos das pessoas de 14 anos ou mais de idade","2777","Preta","2","%",1.6
"57","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8191","Coeficiente de variação - Média de horas habitualmente trabalhadas por semana em todos trabalhos das pessoas de 14 anos ou mais de idade","2779","Parda","2","%",1.3
"58","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8192","Média de horas efetivamente trabalhadas na semana de referência em todos trabalhos das pessoas de 14 anos ou mais de idade","95251","Total","1574","Horas",36.2
"59","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8192","Média de horas efetivamente trabalhadas na semana de referência em todos trabalhos das pessoas de 14 anos ou mais de idade","2776","Branca","1574","Horas",35.7
"60","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8192","Média de horas efetivamente trabalhadas na semana de referência em todos trabalhos das pessoas de 14 anos ou mais de idade","2777","Preta","1574","Horas",36.7
"61","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8192","Média de horas efetivamente trabalhadas na semana de referência em todos trabalhos das pessoas de 14 anos ou mais de idade","2779","Parda","1574","Horas",36.1
"62","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8193","Coeficiente de variação - Média de horas efetivamente trabalhadas na semana de referência em todos trabalhos das pessoas de 14 anos ou mais de idade","95251","Total","2","%",1.1
"63","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8193","Coeficiente de variação - Média de horas efetivamente trabalhadas na semana de referência em todos trabalhos das pessoas de 14 anos ou mais de idade","2776","Branca","2","%",2.3
"64","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8193","Coeficiente de variação - Média de horas efetivamente trabalhadas na semana de referência em todos trabalhos das pessoas de 14 anos ou mais de idade","2777","Preta","2","%",2.3
"65","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8193","Coeficiente de variação - Média de horas efetivamente trabalhadas na semana de referência em todos trabalhos das pessoas de 14 anos ou mais de idade","2779","Parda","2","%",1.7
"66","6","Município","2927408","Salvador (BA)","201203","3º trimestre 2012","8186","Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade","95251","Total","1574","Horas",37.8
"67","6","Município","2927408","Salvador (BA)","201203","3º trimestre 2012","8186","Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade","2776","Branca","1574","Horas",37.6
"68","6","Município","2927408","Salvador (BA)","201203","3º trimestre 2012","8186","Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade","2777","Preta","1574","Horas",37.3
"69","6","Município","2927408","Salvador (BA)","201203","3º trimestre 2012","8186","Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade","2779","Parda","1574","Horas",38.1
"70","6","Município","2927408","Salvador (BA)","201203","3º trimestre 2012","8187","Coeficiente de variação - Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade","95251","Total","2","%",1.1
"71","6","Município","2927408","Salvador (BA)","201203","3º trimestre 2012","8187","Coeficiente de variação - Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade","2776","Branca","2","%",2.3
"72","6","Município","2927408","Salvador (BA)","201203","3º trimestre 2012","8187","Coeficiente de variação - Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade","2777","Preta","2","%",2.1
"73","6","Município","2927408","Salvador (BA)","201203","3º trimestre 2012","8187","Coeficiente de variação - Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade","2779","Parda","2","%",1.4
"74","6","Município","2927408","Salvador (BA)","201203","3º trimestre 2012","8188","Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade","95251","Total","1574","Horas",35.9
"75","6","Município","2927408","Salvador (BA)","201203","3º trimestre 2012","8188","Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade","2776","Branca","1574","Horas",36.6
"76","6","Município","2927408","Salvador (BA)","201203","3º trimestre 2012","8188","Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade","2777","Preta","1574","Horas",35.2
"77","6","Município","2927408","Salvador (BA)","201203","3º trimestre 2012","8188","Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade","2779","Parda","1574","Horas",36.2
"78","6","Município","2927408","Salvador (BA)","201203","3º trimestre 2012","8189","Coeficiente de variação - Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade","95251","Total","2","%",1.3
"79","6","Município","2927408","Salvador (BA)","201203","3º trimestre 2012","8189","Coeficiente de variação - Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade","2776","Branca","2","%",2.8
"80","6","Município","2927408","Salvador (BA)","201203","3º trimestre 2012","8189","Coeficiente de variação - Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade","2777","Preta","2","%",2.1
"81","6","Município","2927408","Salvador (BA)","201203","3º trimestre 2012","8189","Coeficiente de variação - Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade","2779","Parda","2","%",1.7
"82","6","Município","2927408","Salvador (BA)","201203","3º trimestre 2012","8190","Média de horas habitualmente trabalhadas por semana em todos trabalhos das pessoas de 14 anos ou mais de idade","95251","Total","1574","Horas",38.9
"83","6","Município","2927408","Salvador (BA)","201203","3º trimestre 2012","8190","Média de horas habitualmente trabalhadas por semana em todos trabalhos das pessoas de 14 anos ou mais de idade","2776","Branca","1574","Horas",38.8
"84","6","Município","2927408","Salvador (BA)","201203","3º trimestre 2012","8190","Média de horas habitualmente trabalhadas por semana em todos trabalhos das pessoas de 14 anos ou mais de idade","2777","Preta","1574","Horas",38
"85","6","Município","2927408","Salvador (BA)","201203","3º trimestre 2012","8190","Média de horas habitualmente trabalhadas por semana em todos trabalhos das pessoas de 14 anos ou mais de idade","2779","Parda","1574","Horas",39.5
"86","6","Município","2927408","Salvador (BA)","201203","3º trimestre 2012","8191","Coeficiente de variação - Média de horas habitualmente trabalhadas por semana em todos trabalhos das pessoas de 14 anos ou mais de idade","95251","Total","2","%",1.1
"87","6","Município","2927408","Salvador (BA)","201203","3º trimestre 2012","8191","Coeficiente de variação - Média de horas habitualmente trabalhadas por semana em todos trabalhos das pessoas de 14 anos ou mais de idade","2776","Branca","2","%",2.2
"88","6","Município","2927408","Salvador (BA)","201203","3º trimestre 2012","8191","Coeficiente de variação - Média de horas habitualmente trabalhadas por semana em todos trabalhos das pessoas de 14 anos ou mais de idade","2777","Preta","2","%",2.1
"89","6","Município","2927408","Salvador (BA)","201203","3º trimestre 2012","8191","Coeficiente de variação - Média de horas habitualmente trabalhadas por semana em todos trabalhos das pessoas de 14 anos ou mais de idade","2779","Parda","2","%",1.4
"90","6","Município","2927408","Salvador (BA)","201203","3º trimestre 2012","8192","Média de horas efetivamente trabalhadas na semana de referência em todos trabalhos das pessoas de 14 anos ou mais de idade","95251","Total","1574","Horas",37
"91","6","Município","2927408","Salvador (BA)","201203","3º trimestre 2012","8192","Média de horas efetivamente trabalhadas na semana de referência em todos trabalhos das pessoas de 14 anos ou mais de idade","2776","Branca","1574","Horas",37.6
"92","6","Município","2927408","Salvador (BA)","201203","3º trimestre 2012","8192","Média de horas efetivamente trabalhadas na semana de referência em todos trabalhos das pessoas de 14 anos ou mais de idade","2777","Preta","1574","Horas",35.8
"93","6","Município","2927408","Salvador (BA)","201203","3º trimestre 2012","8192","Média de horas efetivamente trabalhadas na semana de referência em todos trabalhos das pessoas de 14 anos ou mais de idade","2779","Parda","1574","Horas",37.4
"94","6","Município","2927408","Salvador (BA)","201203","3º trimestre 2012","8193","Coeficiente de variação - Média de horas efetivamente trabalhadas na semana de referência em todos trabalhos das pessoas de 14 anos ou mais de idade","95251","Total","2","%",1.3
"95","6","Município","2927408","Salvador (BA)","201203","3º trimestre 2012","8193","Coeficiente de variação - Média de horas efetivamente trabalhadas na semana de referência em todos trabalhos das pessoas de 14 anos ou mais de idade","2776","Branca","2","%",2.8
"96","6","Município","2927408","Salvador (BA)","201203","3º trimestre 2012","8193","Coeficiente de variação - Média de horas efetivamente trabalhadas na semana de referência em todos trabalhos das pessoas de 14 anos ou mais de idade","2777","Preta","2","%",2.1
"97","6","Município","2927408","Salvador (BA)","201203","3º trimestre 2012","8193","Coeficiente de variação - Média de horas efetivamente trabalhadas na semana de referência em todos trabalhos das pessoas de 14 anos ou mais de idade","2779","Parda","2","%",1.7
"98","6","Município","2927408","Salvador (BA)","201204","4º trimestre 2012","8186","Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade","95251","Total","1574","Horas",38.3
"99","6","Município","2927408","Salvador (BA)","201204","4º trimestre 2012","8186","Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade","2776","Branca","1574","Horas",37
"100","6","Município","2927408","Salvador (BA)","201204","4º trimestre 2012","8186","Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade","2777","Preta","1574","Horas",38.9
"101","6","Município","2927408","Salvador (BA)","201204","4º trimestre 2012","8186","Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade","2779","Parda","1574","Horas",38.4
"102","6","Município","2927408","Salvador (BA)","201204","4º trimestre 2012","8187","Coeficiente de variação - Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade","95251","Total","2","%",0.9
"103","6","Município","2927408","Salvador (BA)","201204","4º trimestre 2012","8187","Coeficiente de variação - Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade","2776","Branca","2","%",2.3
"104","6","Município","2927408","Salvador (BA)","201204","4º trimestre 2012","8187","Coeficiente de variação - Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade","2777","Preta","2","%",1.5
"105","6","Município","2927408","Salvador (BA)","201204","4º trimestre 2012","8187","Coeficiente de variação - Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade","2779","Parda","2","%",1.3
"106","6","Município","2927408","Salvador (BA)","201204","4º trimestre 2012","8188","Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade","95251","Total","1574","Horas",36.7
"107","6","Município","2927408","Salvador (BA)","201204","4º trimestre 2012","8188","Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade","2776","Branca","1574","Horas",35.4
"108","6","Município","2927408","Salvador (BA)","201204","4º trimestre 2012","8188","Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade","2777","Preta","1574","Horas",37.2
"109","6","Município","2927408","Salvador (BA)","201204","4º trimestre 2012","8188","Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade","2779","Parda","1574","Horas",36.8
"110","6","Município","2927408","Salvador (BA)","201204","4º trimestre 2012","8189","Coeficiente de variação - Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade","95251","Total","2","%",1.1
"111","6","Município","2927408","Salvador (BA)","201204","4º trimestre 2012","8189","Coeficiente de variação - Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade","2776","Branca","2","%",3.3
"112","6","Município","2927408","Salvador (BA)","201204","4º trimestre 2012","8189","Coeficiente de variação - Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade","2777","Preta","2","%",1.7
"113","6","Município","2927408","Salvador (BA)","201204","4º trimestre 2012","8189","Coeficiente de variação - Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade","2779","Parda","2","%",1.6
"114","6","Município","2927408","Salvador (BA)","201204","4º trimestre 2012","8190","Média de horas habitualmente trabalhadas por semana em todos trabalhos das pessoas de 14 anos ou mais de idade","95251","Total","1574","Horas",39.5
"115","6","Município","2927408","Salvador (BA)","201204","4º trimestre 2012","8190","Média de horas habitualmente trabalhadas por semana em todos trabalhos das pessoas de 14 anos ou mais de idade","2776","Branca","1574","Horas",37.9
"116","6","Município","2927408","Salvador (BA)","201204","4º trimestre 2012","8190","Média de horas habitualmente trabalhadas por semana em todos trabalhos das pessoas de 14 anos ou mais de idade","2777","Preta","1574","Horas",40
"117","6","Município","2927408","Salvador (BA)","201204","4º trimestre 2012","8190","Média de horas habitualmente trabalhadas por semana em todos trabalhos das pessoas de 14 anos ou mais de idade","2779","Parda","1574","Horas",39.6
"118","6","Município","2927408","Salvador (BA)","201204","4º trimestre 2012","8191","Coeficiente de variação - Média de horas habitualmente trabalhadas por semana em todos trabalhos das pessoas de 14 anos ou mais de idade","95251","Total","2","%",0.9
"119","6","Município","2927408","Salvador (BA)","201204","4º trimestre 2012","8191","Coeficiente de variação - Média de horas habitualmente trabalhadas por semana em todos trabalhos das pessoas de 14 anos ou mais de idade","2776","Branca","2","%",2.1
"120","6","Município","2927408","Salvador (BA)","201204","4º trimestre 2012","8191","Coeficiente de variação - Média de horas habitualmente trabalhadas por semana em todos trabalhos das pessoas de 14 anos ou mais de idade","2777","Preta","2","%",1.6
"121","6","Município","2927408","Salvador (BA)","201204","4º trimestre 2012","8191","Coeficiente de variação - Média de horas habitualmente trabalhadas por semana em todos trabalhos das pessoas de 14 anos ou mais de idade","2779","Parda","2","%",1.3
"122","6","Município","2927408","Salvador (BA)","201204","4º trimestre 2012","8192","Média de horas efetivamente trabalhadas na semana de referência em todos trabalhos das pessoas de 14 anos ou mais de idade","95251","Total","1574","Horas",37.8
"123","6","Município","2927408","Salvador (BA)","201204","4º trimestre 2012","8192","Média de horas efetivamente trabalhadas na semana de referência em todos trabalhos das pessoas de 14 anos ou mais de idade","2776","Branca","1574","Horas",36.3
"124","6","Município","2927408","Salvador (BA)","201204","4º trimestre 2012","8192","Média de horas efetivamente trabalhadas na semana de referência em todos trabalhos das pessoas de 14 anos ou mais de idade","2777","Preta","1574","Horas",38.1
"125","6","Município","2927408","Salvador (BA)","201204","4º trimestre 2012","8192","Média de horas efetivamente trabalhadas na semana de referência em todos trabalhos das pessoas de 14 anos ou mais de idade","2779","Parda","1574","Horas",38.1
"126","6","Município","2927408","Salvador (BA)","201204","4º trimestre 2012","8193","Coeficiente de variação - Média de horas efetivamente trabalhadas na semana de referência em todos trabalhos das pessoas de 14 anos ou mais de idade","95251","Total","2","%",1.1
"127","6","Município","2927408","Salvador (BA)","201204","4º trimestre 2012","8193","Coeficiente de variação - Média de horas efetivamente trabalhadas na semana de referência em todos trabalhos das pessoas de 14 anos ou mais de idade","2776","Branca","2","%",3.1
"128","6","Município","2927408","Salvador (BA)","201204","4º trimestre 2012","8193","Coeficiente de variação - Média de horas efetivamente trabalhadas na semana de referência em todos trabalhos das pessoas de 14 anos ou mais de idade","2777","Preta","2","%",1.7
"129","6","Município","2927408","Salvador (BA)","201204","4º trimestre 2012","8193","Coeficiente de variação - Média de horas efetivamente trabalhadas na semana de referência em todos trabalhos das pessoas de 14 anos ou mais de idade","2779","Parda","2","%",1.6
"130","6","Município","2927408","Salvador (BA)","201301","1º trimestre 2013","8186","Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade","95251","Total","1574","Horas",39.2
"131","6","Município","2927408","Salvador (BA)","201301","1º trimestre 2013","8186","Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade","2776","Branca","1574","Horas",37.6
"132","6","Município","2927408","Salvador (BA)","201301","1º trimestre 2013","8186","Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade","2777","Preta","1574","Horas",39.8
